[2025-11-25 00:23:33] [INFO    ] discord.client: logging in using static token
[2025-11-25 00:23:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-25 00:23:33] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-25 00:23:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1430274526398251118', 'username': 'Blockchain', 'avatar': '9dbb177084f9c738cb5dee3f269a9a2d', 'discriminator': '9087', 'public_flags': 65536, 'flags': 65536, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-25 00:23:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-25 00:23:35] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-25 00:23:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1430274526398251118', 'name': 'Blockchain', 'icon': '9dbb177084f9c738cb5dee3f269a9a2d', 'description': '', 'type': None, 'bot': {'id': '1430274526398251118', 'username': 'Blockchain', 'avatar': '9dbb177084f9c738cb5dee3f269a9a2d', 'discriminator': '9087', 'public_flags': 65536, 'flags': 65536, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': True, 'is_discoverable': False, 'guild_id': '1276297768406618142', 'bot_public': True, 'bot_require_code_grant': False, 'terms_of_service_url': 'https://kevinmonserrat.github.io/blockchainbot/BlockchainBot_TOS.html', 'privacy_policy_url': 'https://kevinmonserrat.github.io/blockchainbot/BlockchainBot_PrivacyPolicy.html', 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'b54e0737005c25ed51bae6318e5be1c56503d464af5a57052f50c169c3bc64a3', 'flags': 27787264, 'tags': ['Ethereum', 'Blockchain'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1435322785277939794', 'username': 'team1435322785277939794', 'avatar': None, 'discriminator': '0000', 'public_flags': 1024, 'flags': 1024, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 6, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 3067, 'monetization_state': 1, 'verification_eligibility_flags': 125950, 'monetization_eligibility_flags': 247551, 'bot_approximate_guild_count': 1, 'team': {'id': '1435322785277939794', 'icon': '20f5c8713160036b4dc254570cebbfcb', 'name': 'Blockchain', 'owner_user_id': '530073536107118613', 'members': [{'user': {'id': '530073536107118613', 'username': 'katoo43', 'avatar': 'aaf3caa3eef446b9c0c2a8c3e7d1d472', 'discriminator': '0', 'public_flags': 4194304, 'flags': 4194304, 'banner': None, 'accent_color': None, 'global_name': 'KaTo', 'avatar_decoration_data': {'asset': 'a_3d1e6078b2e4c8865e0ad0f429d651b1', 'sku_id': '1271174324375519273', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'team_id': '1435322785277939794', 'membership_state': 2, 'role': 'admin', 'permissions': ['*']}]}, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-25 00:23:35] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1430274526398251118/commands with [{"name":"agregarwallet","description":"Agrega una wallet de la red ETH","type":1,"options":[{"type":3,"name":"wallet","description":"Direcci\u00f3n de la wallet","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"eliminarwallet","description":"Elimina una de tus wallet","type":1,"options":[{"type":3,"name":"wallet","description":"Direccion de la wallet a eliminar","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"verwallets","description":"Ver tus wallets guardadas","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"balance","description":"Consultar balance","type":1,"options":[{"type":3,"name":"wallet","description":"Selecciona una de tus wallets","required":true,"autocomplete":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"transferencias","description":"Ver transferencias de stablecoins(USDT,USDC y DAI)","type":1,"options":[{"type":3,"name":"wallet","description":"Selecciona una de tus wallets","required":true,"autocomplete":true},{"type":3,"name":"token","description":"Selecciona un token","required":true,"autocomplete":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2025-11-25 00:23:35] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2025-11-25 00:23:35] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1430274526398251118/commands has received [{'id': '1437881891087716484', 'application_id': '1430274526398251118', 'version': '1437889384580907059', 'default_member_permissions': None, 'type': 1, 'name': 'agregarwallet', 'name_localizations': None, 'description': 'Agrega una wallet de la red ETH', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'wallet', 'name_localizations': None, 'description': 'Dirección de la wallet', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1437889384580907058', 'application_id': '1430274526398251118', 'version': '1437889384580907060', 'default_member_permissions': None, 'type': 1, 'name': 'eliminarwallet', 'name_localizations': None, 'description': 'Elimina una de tus wallet', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'wallet', 'name_localizations': None, 'description': 'Direccion de la wallet a eliminar', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1440805811461820571', 'application_id': '1430274526398251118', 'version': '1440805811461820572', 'default_member_permissions': None, 'type': 1, 'name': 'verwallets', 'name_localizations': None, 'description': 'Ver tus wallets guardadas', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1441098160503001098', 'application_id': '1430274526398251118', 'version': '1441098160503001099', 'default_member_permissions': None, 'type': 1, 'name': 'balance', 'name_localizations': None, 'description': 'Consultar balance', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'wallet', 'name_localizations': None, 'description': 'Selecciona una de tus wallets', 'description_localizations': None, 'required': True, 'autocomplete': True}], 'nsfw': False}, {'id': '1442703581584298126', 'application_id': '1430274526398251118', 'version': '1442703581584298127', 'default_member_permissions': None, 'type': 1, 'name': 'transferencias', 'name_localizations': None, 'description': 'Ver transferencias de stablecoins(USDT,USDC y DAI)', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'wallet', 'name_localizations': None, 'description': 'Selecciona una de tus wallets', 'description_localizations': None, 'required': True, 'autocomplete': True}, {'type': 3, 'name': 'token', 'name_localizations': None, 'description': 'Selecciona un token', 'description_localizations': None, 'required': True, 'autocomplete': True}], 'nsfw': False}]
[2025-11-25 00:23:36] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
